(c) 2008-2009 Pavel Surynek

id:3
V =
(0:0)[-1:0:0]
(1:0)[-1:0:0]
(2:0)[1:0:0]
(3:0)[13:0:0]
(4:0)[-1:0:0]
(5:0)[-1:0:0]
(6:0)[-1:0:0]
(7:0)[-1:0:0]
(8:0)[2:0:0]
(9:0)[14:0:0]
(10:0)[-1:0:0]
(11:0)[-1:0:0]
(12:0)[3:0:0]
(13:0)[15:0:0]
(14:0)[-1:0:0]
(15:0)[-1:0:0]
(16:0)[-1:0:0]
(17:0)[-1:0:0]
(18:0)[4:0:0]
(19:0)[16:0:0]
(20:0)[-1:0:0]
(21:0)[-1:0:0]
(22:0)[5:0:0]
(23:0)[17:0:0]
(24:0)[-1:0:0]
(25:0)[-1:0:0]
(26:0)[-1:0:0]
(27:0)[-1:0:0]
(28:0)[6:0:0]
(29:0)[18:0:0]
(30:0)[-1:0:0]
(31:0)[-1:0:0]
(32:0)[7:0:0]
(33:0)[19:0:0]
(34:0)[-1:0:0]
(35:0)[-1:0:0]
(36:0)[-1:0:0]
(37:0)[-1:0:0]
(38:0)[8:0:0]
(39:0)[20:0:0]
(40:0)[-1:0:0]
(41:0)[-1:0:0]
(42:0)[9:0:0]
(43:0)[21:0:0]
(44:0)[-1:0:0]
(45:0)[-1:0:0]
(46:0)[-1:0:0]
(47:0)[-1:0:0]
(48:0)[10:0:0]
(49:0)[22:0:0]
(50:0)[-1:0:0]
(51:0)[-1:0:0]
(52:0)[11:0:0]
(53:0)[23:0:0]
(54:0)[-1:0:0]
(55:0)[-1:0:0]
(56:0)[-1:0:0]
(57:0)[-1:0:0]
(58:0)[12:0:0]
(59:0)[24:0:0]
E =
{0,1} (0)
{1,10} (0)
{2,0} (0)
{3,2} (0)
{4,3} (0)
{5,4} (0)
{6,5} (0)
{7,6} (0)
{8,7} (0)
{9,8} (0)
{10,11} (0)
{10,20} (0)
{11,0} (0)
{11,12} (0)
{12,2} (0)
{12,13} (0)
{12,22} (0)
{13,3} (0)
{13,14} (0)
{13,23} (0)
{14,4} (0)
{14,15} (0)
{14,24} (0)
{15,5} (0)
{15,16} (0)
{15,25} (0)
{16,6} (0)
{16,17} (0)
{16,26} (0)
{17,7} (0)
{17,18} (0)
{17,27} (0)
{18,8} (0)
{18,19} (0)
{18,28} (0)
{19,9} (0)
{19,29} (0)
{20,21} (0)
{20,30} (0)
{21,11} (0)
{22,21} (0)
{22,32} (0)
{23,22} (0)
{23,33} (0)
{24,23} (0)
{24,34} (0)
{25,24} (0)
{25,35} (0)
{26,25} (0)
{26,36} (0)
{27,26} (0)
{27,37} (0)
{28,27} (0)
{28,38} (0)
{29,28} (0)
{29,39} (0)
{30,31} (0)
{30,40} (0)
{31,21} (0)
{32,31} (0)
{32,42} (0)
{33,32} (0)
{33,43} (0)
{34,33} (0)
{34,44} (0)
{35,34} (0)
{35,45} (0)
{36,35} (0)
{36,46} (0)
{37,36} (0)
{37,47} (0)
{38,37} (0)
{38,48} (0)
{39,38} (0)
{39,49} (0)
{40,41} (0)
{40,50} (0)
{41,31} (0)
{42,41} (0)
{42,52} (0)
{43,42} (0)
{43,53} (0)
{44,43} (0)
{44,54} (0)
{45,44} (0)
{45,55} (0)
{46,45} (0)
{46,56} (0)
{47,46} (0)
{47,57} (0)
{48,47} (0)
{48,58} (0)
{49,48} (0)
{49,59} (0)
{50,51} (0)
{51,41} (0)
{52,51} (0)
{53,52} (0)
{54,53} (0)
{55,54} (0)
{56,55} (0)
{57,56} (0)
{58,57} (0)
{59,58} (0)
C = 
0 (0,0): 0 11 10 1  [0 11 10 1 ] {}
1 (0,11): 0 11 12 2  [12 2 ] {0 11 }
